contact_hypothesis,load_hypothesis,load_ohm,frequency_hz,vcmd,s6_zout_mag_ohm,s6_zout_phase_deg,VNA_mag,VNA_db,VCMD_NODE_mag
core_all_branches,r1r2_open,Infinity,100,0,7496.048803599607,-1.767773046334657,0.01613159216605655,-35.84645532449852,0.004398139561905155
core_all_branches,r1r2_open,Infinity,100,3,7496.048803599607,-1.767773046334657,0.0010877151704226475,-59.26969628592536,0.00029524061405712047
core_all_branches,r1r2_open,Infinity,1000,0,7138.012942838078,-17.014874071056408,0.15360802555707154,-16.27172186264007,0.04074934362662203
core_all_branches,r1r2_open,Infinity,1000,3,7138.012942838078,-17.014874071056408,0.010751963682492786,-39.37024422456916,0.0028521666851328703
core_all_branches,r1r2_open,Infinity,10000,0,2390.0675276165916,-68.88432893487715,0.6403650004638678,-3.8714482546296884,0.0729514779765682
core_all_branches,r1r2_open,Infinity,10000,3,2390.0675276165916,-68.88432893487715,0.09609425183108868,-20.346051803903297,0.010947216832027422
core_all_branches,r1r2_open,Infinity,20000,0,1285.6150274364202,-77.42104251670803,0.7291144744150972,-2.744085600888818,0.046132695077468935
core_all_branches,r1r2_open,Infinity,20000,3,1285.6150274364202,-77.42104251670803,0.15554206900774478,-16.16304256786345,0.009841491668701815
core_all_branches,r1_3k,3000,100,0,2142.742653539028,-0.5052436222479991,0.013162713966158006,-37.61309112172615,0.0012737427428669175
core_all_branches,r1_3k,3000,100,3,2142.742653539028,-0.5052436222479991,0.0010715907131592303,-59.399421176401205,0.00010323421267392648
core_all_branches,r1_3k,3000,1000,0,2131.7827824492956,-5.013563820594727,0.12962041465455687,-17.746531871528997,0.012489452952280327
core_all_branches,r1_3k,3000,1000,3,2131.7827824492956,-5.013563820594727,0.010604923346679028,-39.489849325097616,0.0010217810541472815
core_all_branches,r1_3k,3000,10000,0,1608.1950670150152,-38.87963441055389,0.6558469700777753,-3.6639496699198837,0.049573877563802576
core_all_branches,r1_3k,3000,10000,3,1608.1950670150152,-38.87963441055389,0.09620642497690139,-20.335918468009055,0.0072720064044994905
core_all_branches,r1_3k,3000,20000,0,1098.253443079789,-56.486736913252344,0.7347928838832087,-2.6767011655940456,0.03912344971231797
core_all_branches,r1_3k,3000,20000,3,1098.253443079789,-56.486736913252344,0.15573043670300735,-16.152529970816587,0.008291739550426036
core_all_branches,r2_1M,1000000,100,0,7440.3022811334595,-1.7546223670559156,0.016101096703465174,-35.862890832106046,0.004366024384587531
core_all_branches,r2_1M,1000000,100,3,7440.3022811334595,-1.7546223670559156,0.0010875777712196363,-59.270793549004225,0.0002936027186242965
core_all_branches,r2_1M,1000000,1000,0,7089.6069476662915,-16.896010427549598,0.1534008886833066,-16.283442488426772,0.04048471727522138
core_all_branches,r2_1M,1000000,1000,3,7089.6069476662915,-16.896010427549598,0.010750807457929237,-39.37117832175133,0.0028371658349577522
core_all_branches,r2_1M,1000000,10000,0,2388.0054612165886,-68.7566931457083,0.6404522881708017,-3.8702643677520063,0.07288532336565326
core_all_branches,r2_1M,1000000,10000,3,2388.0054612165886,-68.7566931457083,0.09609558087462419,-20.34593167345403,0.010935950161890771
core_all_branches,r2_1M,1000000,20000,0,1285.2541609566813,-77.3491704449589,0.7291350690073082,-2.743840262419962,0.04611776114651672
core_all_branches,r2_1M,1000000,20000,3,1285.2541609566813,-77.3491704449589,0.1555429247650827,-16.162994780191635,0.009838082053311966
core_all_branches,r1_r2_series_1003k,1003000,100,0,7440.467784739201,-1.754661409440882,0.01610118725328405,-35.86284198428304,0.004366119743030018
core_all_branches,r1_r2_series_1003k,1003000,100,3,7440.467784739201,-1.754661409440882,0.0010875781799161367,-59.270790284969124,0.00029360759052487367
core_all_branches,r1_r2_series_1003k,1003000,1000,0,7089.750797565745,-16.89636354785198,0.15340150502493047,-16.28340758990294,0.040485503945645866
core_all_branches,r1_r2_series_1003k,1003000,1000,3,7089.750797565745,-16.89636354785198,0.010750810900074695,-39.37117554074247,0.0028372104737003573
core_all_branches,r1_r2_series_1003k,1003000,10000,0,2388.0116412617213,-68.75707457909029,0.6404520274537532,-3.870267903628157,0.07288552151617206
core_all_branches,r1_r2_series_1003k,1003000,10000,3,2388.0116412617213,-68.75707457909029,0.09609557691271492,-20.345932031563187,0.010935983894008931
core_all_branches,r1_r2_series_1003k,1003000,20000,0,1285.2552430305905,-77.34938535604331,0.7291350074204426,-2.7438409960792836,0.0461178059009178
core_all_branches,r1_r2_series_1003k,1003000,20000,3,1285.2552430305905,-77.34938535604331,0.1555429222078031,-16.162994922996255,0.009838092269787789
core_all_branches,r1_r2_parallel_2k991,2991.026919242273,100,0,2138.1613018652906,-0.5041633438873702,0.013160138179482193,-37.61479101342063,0.0012710336204446967
core_all_branches,r1_r2_parallel_2k991,2991.026919242273,100,3,2138.1613018652906,-0.5041633438873702,0.0010715738140352786,-59.39955815508274,0.00010303317902828169
core_all_branches,r1_r2_parallel_2k991,2991.026919242273,1000,0,2127.26522845616,-5.0029122455458,0.1295966996828894,-17.74812116186405,0.01246322525649321
core_all_branches,r1_r2_parallel_2k991,2991.026919242273,1000,3,2127.26522845616,-5.0029122455458,0.01060475989115904,-39.48998320325048,0.0010198061913218534
core_all_branches,r1_r2_parallel_2k991,2991.026919242273,10000,0,1606.183427438905,-38.821869971351894,0.6558626894572548,-3.6637414884913917,0.04951461144627327
core_all_branches,r1_r2_parallel_2k991,2991.026919242273,10000,3,1606.183427438905,-38.821869971351894,0.09620623522484785,-20.33593559957819,0.007263124231874612
core_all_branches,r1_r2_parallel_2k991,2991.026919242273,20000,0,1097.5874296018417,-56.4343042582066,0.7348052067500145,-2.676555499834428,0.03909958418290546
core_all_branches,r1_r2_parallel_2k991,2991.026919242273,20000,3,1097.5874296018417,-56.4343042582066,0.15573072295014675,-16.15251400535197,0.008286557803319352
core_without_lr_bridge,r1r2_open,Infinity,100,0,14991.444060476702,-1.7541215369923675,0.020162693069329007,-33.90902921929559,0.008639072202339712
core_without_lr_bridge,r1r2_open,Infinity,100,3,14991.444060476702,-1.7541215369923675,0.0011024315251813854,-59.15296752308752,0.00047027164969275345
core_without_lr_bridge,r1r2_open,Infinity,1000,0,14228.836658719742,-16.754856056143762,0.18706652537599347,-14.560078407685499,0.07857550236551394
core_without_lr_bridge,r1r2_open,Infinity,1000,3,14228.836658719742,-16.754856056143762,0.010896227380690241,-39.2544768510107,0.004576650445688507
core_without_lr_bridge,r1r2_open,Infinity,10000,0,4966.543970790109,-65.32326151116585,0.6421700366036626,-3.8469992460621705,0.14155901121346015
core_without_lr_bridge,r1r2_open,Infinity,10000,3,4966.543970790109,-65.32326151116585,0.09664205702155852,-20.296676693746022,0.021303622178917053
core_without_lr_bridge,r1r2_open,Infinity,20000,0,2781.871951333381,-73.39365484187174,0.7265947925580681,-2.774154380261569,0.09641153239579299
core_without_lr_bridge,r1r2_open,Infinity,20000,3,2781.871951333381,-73.39365484187174,0.1558694547635165,-16.144779675361015,0.02068224467731398
core_without_lr_bridge,r1_3k,3000,100,0,2499.9249955924747,-0.29246724336043356,0.01336347133859516,-37.48161426928672,0.0014847811678520668
core_without_lr_bridge,r1_3k,3000,100,3,2499.9249955924747,-0.29246724336043356,0.001072890855373468,-59.388889126757135,0.00011867466255050405
core_without_lr_bridge,r1_3k,3000,1000,0,2492.8858685906234,-2.8950167405515246,0.1316450805995248,-17.61190730516489,0.014592028582906334
core_without_lr_bridge,r1_3k,3000,1000,3,2492.8858685906234,-2.8950167405515246,0.010618118266202998,-39.479048834609394,0.0011768982208702969
core_without_lr_bridge,r1_3k,3000,10000,0,2194.263708605844,-23.669606259541336,0.666756304255492,-3.520657386314659,0.06641928886437053
core_without_lr_bridge,r1_3k,3000,10000,3,2194.263708605844,-23.669606259541336,0.09645988505086223,-20.313065199061487,0.009608899115796094
core_without_lr_bridge,r1_3k,3000,20000,0,1799.4821243592055,-38.30738808069843,0.74161504250143,-2.596429395795728,0.06224134586558251
core_without_lr_bridge,r1_3k,3000,20000,3,1799.4821243592055,-38.30738808069843,0.15615750235798487,-16.12874291783296,0.013105791352039821
core_without_lr_bridge,r2_1M,1000000,100,0,14770.120849624718,-1.728216996144844,0.020045845111710852,-33.9595125925937,0.008516042111506673
core_without_lr_bridge,r2_1M,1000000,100,3,14770.120849624718,-1.728216996144844,0.0011020838239158125,-59.15570744036327,0.00046612934612899485
core_without_lr_bridge,r2_1M,1000000,1000,0,14037.462827936777,-16.52299752966603,0.18628569941438186,-14.596409665768416,0.07760502946532283
core_without_lr_bridge,r2_1M,1000000,1000,3,14037.462827936777,-16.52299752966603,0.010893134642826392,-39.25694256615338,0.004537782962361437
core_without_lr_bridge,r2_1M,1000000,10000,0,4956.216773536851,-65.0652231417513,0.6424676936311877,-3.8429741173017486,0.14125565144594063
core_without_lr_bridge,r2_1M,1000000,10000,3,4956.216773536851,-65.0652231417513,0.09664509247870268,-20.296403880516323,0.021248787209734186
core_without_lr_bridge,r2_1M,1000000,20000,0,2779.652137213521,-73.24103500927669,0.7266841876839378,-2.773085795070397,0.09631950501298205
core_without_lr_bridge,r2_1M,1000000,20000,3,2779.652137213521,-73.24103500927669,0.15587263531679035,-16.144602439526622,0.02066038263711302
core_without_lr_bridge,r1_r2_series_1003k,1003000,100,0,14770.773093478536,-1.7282933368142617,0.02004618965231195,-33.95936330400535,0.008516404876354302
core_without_lr_bridge,r1_r2_series_1003k,1003000,100,3,14770.773093478536,-1.7282933368142617,0.0011020848547811054,-59.1556993157744,0.0004661416270854957
core_without_lr_bridge,r1_r2_series_1003k,1003000,1000,0,14038.027894440278,-16.52368172312047,0.18628801115698576,-14.596301877480837,0.0776078987580214
core_without_lr_bridge,r1_r2_series_1003k,1003000,1000,3,14038.027894440278,-16.52368172312047,0.010893143820056668,-39.25693524848234,0.004537898247329067
core_without_lr_bridge,r1_r2_series_1003k,1003000,10000,0,4956.247748002117,-65.06599333882636,0.6424668069734081,-3.8429861045456386,0.14125655989012403
